Name,Code,Flags
Main spoken language Ido,XackR,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Igbo,XaJP0,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Indonesian,XaPFj,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Interlingua,XaPFk,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Interlingue,XaPFl,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Inuktitut,XaPFn,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Inupiaq,XaPFm,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Irish,XaPFo,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Italian,XaJD5,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Japanese,XaJDN,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Javanese,XaPFp,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kalaallisut,XaPFf,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kannada,XaPFq,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kanuri,XackT,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kashmiri,XaPFr,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kazakh,XaPFs,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kikuyu,XaWQU,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kinyarwanda,XaPFt,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kirghiz,XaPFu,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Komi,XackU,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kongo,XackV,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Konkani,XaX3Z,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Korean,XaJDO,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kuanyama,XackW,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kurdish,XaIps,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Kutchi,XaG5z,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Lao,XaPFw,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Latin,XackX,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Latvian,XaPFy,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Limburgan,XackY,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Lingala,XaJP1,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Lithuanian,XaJDP,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Luba-Katanga,Xacka,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Luganda,XaJP2,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Luxembourgish,XackZ,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Macedonian,XaPFz,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Malagasy,XaPG0,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Malay,XaPG1,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Malayalam,XaJP3,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Maltese,XaPG2,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Mandarin,XaG60,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Manx,Xacg3,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Maori,XaPG3,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Marathi,XaPG4,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Marshallese,Xackc,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Moldavian,XaPG5,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Mongolian,XaPG6,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Nauru,XaPG7,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Navajo,Xacke,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Ndebele,XaPA2,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Ndonga,Xackh,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Nepali,XaPG8,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language North Ndebele,Xackg,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Northern Sami,Xackt,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Norwegian,XaJP4,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Norwegian Bokmal,Xackk,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Norwegian Nynorsk,Xackj,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Nuosu,XackS,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Nyanja,XaWQW,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Occitan,XaPG9,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Ojibwa,Xackm,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Oriya,XaPGA,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Oromo,XaPF7,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Ossetian,Xacko,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Pali,Xackq,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Pashto,XaJP5,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Patois,XaJP6,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Polish,XaG61,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Portuguese,XaG62,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Punjabi,XaG63,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Pushto,Xackr,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Quechua,XaPGC,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Romanian,XaP49,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Romansh,XaPGD,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Romany,XaedX,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Rundi,XaPFv,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Russian,XaG64,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Samoan,XaPGE,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Sango,XaPGF,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Sanskrit,Xacks,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Sardinian,Xacku,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Scottish Gaelic,Xacg2,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Serbian,XaJP7,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Shona,XaIpt,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Sindhi,XaPGK,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Sinhala,XaJP8,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Slovak,XaP9z,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Slovenian,XaPGN,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Somali,XaG65,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language South Ndebele,Xackf,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Southern Sotho,XaPGI,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Spanish,XaG66,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Sundanese,XaPGO,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Swahili,XaG67,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Swati,XaPGM,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Swedish,XaJP9,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Sylheti,XaG68,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tagalog,XaJPA,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tahitian,Xackw,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tajik,XaPGP,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tamil,XaG69,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tatar,XaPGQ,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Telugu,XaPGR,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tetum,XaX3X,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Thai,XaJPB,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tibetan,XaPGS,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tigrinya,XaJPC,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tongan,XaPGT,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tsonga,XaPGU,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Tswana,XaPGJ,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Turkish,XaJDQ,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Turkmen,XaPGV,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Twi,XaPGW,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Uighur,XaPGX,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Ukrainian,XaJDR,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Urdu,XaG6A,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Uzbek,XaPGY,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Venda,Xacky,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Vietnamese,XaJDS,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Volapuk,Xackz,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Walloon,Xacl0,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Welsh,XaJPD,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Western Frisian,Xacg0,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Wolof,XaPGa,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Xhosa,XaPGb,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Yiddish,XaPGc,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Yoruba,XaG6B,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Zhuang,XaPGd,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Main spoken language Zulu,XaPGe,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Preferred method of communication: British Sign Language,XaR7A,"In the DRSMCPREFLANG, GP2DRSPREFLANG and GP2DRSREQINTERPRETER QOF clusters"
Preferred method of communication: Makaton,XaR76,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Uses British sign language,Y36db,"In the DRSMCPREFLANG, GP2DRSPREFLANG and GP2DRSREQINTERPRETER QOF clusters"
Uses Makaton sign language,Y36dc,"In the DRSMCPREFLANG, GP2DRSPREFLANG and GP2DRSREQINTERPRETER QOF clusters"
Uses sign language,Xad28,"In the DRSMCPREFLANG, GP2DRSPREFLANG and GP2DRSREQINTERPRETER QOF clusters"
Using British sign language,XaILE,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
Using Makaton sign language,XaJPI,In the DRSMCPREFLANG and GP2DRSPREFLANG QOF clusters
